GPU	Run	Measurement	Duration	Speedup
TitanX Pascal	10	sequential	0.0779396	1.0
TitanX Pascal	10	kernel	0.00154348	50.496021976313266
TitanX Pascal	10	memory	0.0120128	6.488046084176878
TitanX Pascal	10	parallel	0.01355628	5.749335363388776
TitanX Pascal	11	sequential	0.0739061	1.0
TitanX Pascal	11	kernel	0.00154943	47.69889572294328
TitanX Pascal	11	memory	0.00813166	9.08868545905756
TitanX Pascal	11	parallel	0.00968109	7.634068064649745
TitanX Pascal	12	sequential	0.0748202	1.0
TitanX Pascal	12	kernel	0.00154807	48.331277009437564
TitanX Pascal	12	memory	0.0122	6.132803278688525
TitanX Pascal	12	parallel	0.013748070000000001	5.442232982520456
TitanX Pascal	13	sequential	0.047008	1.0
TitanX Pascal	13	kernel	0.00156341	30.067608624736952
TitanX Pascal	13	memory	0.0079086	5.943909162177882
TitanX Pascal	13	parallel	0.00947201	4.962832598360855
TitanX Pascal	14	sequential	0.0596401	1.0
TitanX Pascal	14	kernel	0.00155944	38.24456215051557
TitanX Pascal	14	memory	0.00791648	7.5336639516552815
TitanX Pascal	14	parallel	0.00947592	6.293858538273856
TitanX Pascal	15	sequential	0.0770922	1.0
TitanX Pascal	15	kernel	0.00156223	49.34753525409191
TitanX Pascal	15	memory	0.00793895	9.710629239383042
TitanX Pascal	15	parallel	0.00950118	8.113960581738269
TitanX Pascal	16	sequential	0.0740117	1.0
TitanX Pascal	16	kernel	0.00154844	47.79758983234739
TitanX Pascal	16	memory	0.0121765	6.078240873814314
TitanX Pascal	16	parallel	0.01372494	5.392497162100526
TitanX Pascal	17	sequential	0.0738319	1.0
TitanX Pascal	17	kernel	0.00155538	47.46872146999447
TitanX Pascal	17	memory	0.00815376	9.054951335334865
TitanX Pascal	17	parallel	0.00970914	7.60437072696449
TitanX Pascal	18	sequential	0.0698686	1.0
TitanX Pascal	18	kernel	0.00155428	44.95238953084387
TitanX Pascal	18	memory	0.00766674	9.113208482353647
TitanX Pascal	18	parallel	0.00922102	7.57710101485519
TitanX Pascal	19	sequential	0.0576371	1.0
TitanX Pascal	19	kernel	0.00156276	36.881606900611736
TitanX Pascal	19	memory	0.0079099	7.286704003843285
TitanX Pascal	19	parallel	0.009472659999999999	6.084573921158365
TitanX Pascal	20	sequential	0.0783141	1.0
TitanX Pascal	20	kernel	0.00156142	50.155691614043626
TitanX Pascal	20	memory	0.00789101	9.92447101194904
TitanX Pascal	20	parallel	0.009452430000000001	8.285075901117489
TitanX Pascal	21	sequential	0.0759831	1.0
TitanX Pascal	21	kernel	0.00154281	49.249810410873664
TitanX Pascal	21	memory	0.0120638	6.298438303022265
TitanX Pascal	21	parallel	0.01360661	5.584278523452939
TitanX Pascal	22	sequential	0.0470244	1.0
TitanX Pascal	22	kernel	0.0015475	30.387334410339257
TitanX Pascal	22	memory	0.011283	4.1677213507046
TitanX Pascal	22	parallel	0.0128305	3.665048127508671
TitanX Pascal	23	sequential	0.0470707	1.0
TitanX Pascal	23	kernel	0.00156093	30.155548294926742
TitanX Pascal	23	memory	0.00790206	5.956763173147254
TitanX Pascal	23	parallel	0.009462990000000001	4.974188919147119
TitanX Pascal	24	sequential	0.0799715	1.0
TitanX Pascal	24	kernel	0.00155592	51.398208134094304
TitanX Pascal	24	memory	0.00755038	10.591718562509437
TitanX Pascal	24	parallel	0.0091063	8.781997078945347
TitanX Pascal	25	sequential	0.0602434	1.0
TitanX Pascal	25	kernel	0.0015611	38.5903529562488
TitanX Pascal	25	memory	0.00793192	7.595058951678786
TitanX Pascal	25	parallel	0.00949302	6.346073220113305
TitanX Pascal	26	sequential	0.0727414	1.0
TitanX Pascal	26	kernel	0.00156223	46.562542007258855
TitanX Pascal	26	memory	0.00790449	9.202541846469538
TitanX Pascal	26	parallel	0.00946672	7.683907414606115
TitanX Pascal	27	sequential	0.0740759	1.0
