buffer_size	input_size	time_s
64	1000	6.935083e-02
64	1000	5.831740e-02
64	1000	4.891932e-02
64	1000	4.521157e-02
64	1000	4.549235e-02
64	2000	1.098200e-01
64	2000	1.189817e-01
64	2000	1.088546e-01
64	2000	1.187950e-01
64	2000	1.113503e-01
64	3000	1.807589e-01
64	3000	1.757336e-01
64	3000	1.703307e-01
64	3000	1.752826e-01
64	3000	1.727659e-01
64	4000	2.531793e-01
64	4000	2.741913e-01
64	4000	2.849635e-01
64	4000	2.526920e-01
64	4000	2.531744e-01
64	5000	3.648901e-01
64	5000	3.446475e-01
64	5000	3.407344e-01
64	5000	3.496266e-01
64	5000	3.345942e-01
64	6000	4.476596e-01
64	6000	4.893256e-01
64	6000	4.748863e-01
64	6000	4.432814e-01
64	6000	4.445123e-01
64	7000	5.889225e-01
64	7000	5.718413e-01
64	7000	6.279997e-01
64	7000	5.835391e-01
64	7000	5.595218e-01
64	8000	7.153074e-01
64	8000	7.340507e-01
64	8000	6.844575e-01
64	8000	6.634432e-01
64	8000	6.749035e-01
64	9000	8.216216e-01
64	9000	8.871261e-01
64	9000	8.536971e-01
64	9000	8.187239e-01
64	9000	8.246003e-01
64	10000	9.738459e-01
64	10000	1.035160e+00
64	10000	9.749484e-01
64	10000	9.301648e-01
64	10000	9.672320e-01
64	11000	1.116847e+00
64	11000	1.126468e+00
64	11000	1.179779e+00
64	11000	1.257468e+00
64	11000	1.280217e+00
64	12000	1.256161e+00
64	12000	1.340823e+00
64	12000	1.251244e+00
64	12000	1.255477e+00
64	12000	1.484712e+00
64	13000	1.489662e+00
64	13000	1.468018e+00
64	13000	1.492258e+00
64	13000	1.485968e+00
64	13000	1.466521e+00
64	14000	1.764263e+00
64	14000	1.653594e+00
64	14000	1.753859e+00
64	14000	1.708879e+00
64	14000	1.695984e+00
64	15000	1.893600e+00
64	15000	1.911075e+00
64	15000	2.074009e+00
64	15000	1.936875e+00
64	15000	1.876404e+00
64	16000	2.148911e+00
64	16000	2.193974e+00
64	16000	2.242646e+00
64	16000	2.162037e+00
64	16000	2.539872e+00
64	17000	2.478839e+00
64	17000	2.594618e+00
64	17000	2.452085e+00
64	17000	2.348423e+00
64	17000	2.381459e+00
64	18000	2.627346e+00
64	18000	3.605676e+00
64	18000	2.847644e+00
64	18000	2.604102e+00
64	18000	2.757901e+00
64	19000	2.960829e+00
64	19000	2.968515e+00
64	19000	2.913768e+00
64	19000	3.007752e+00
64	19000	2.906573e+00
64	20000	3.497837e+00
64	20000	3.151667e+00
64	20000	3.079551e+00
64	20000	3.292160e+00
64	20000	3.218835e+00
64	21000	4.189819e+00
64	21000	3.709606e+00
64	21000	3.562254e+00
64	21000	3.832964e+00
64	21000	3.431023e+00
64	22000	3.883904e+00
64	22000	4.059238e+00
64	22000	4.114166e+00
64	22000	4.127732e+00
64	22000	4.097644e+00
64	23000	4.670811e+00
64	23000	4.235776e+00
64	23000	4.195869e+00
64	23000	4.277028e+00
64	23000	4.143945e+00
64	24000	4.916877e+00
64	24000	4.617537e+00
64	24000	4.524725e+00
64	24000	4.587151e+00
64	24000	4.608893e+00
64	25000	5.162473e+00
64	25000	4.679068e+00
64	25000	4.972983e+00
64	25000	5.463947e+00
64	25000	5.821405e+00
64	26000	5.163330e+00
64	26000	5.512567e+00
64	26000	7.191732e+00
64	26000	5.443849e+00
64	26000	5.995995e+00
64	27000	6.073403e+00
64	27000	6.654259e+00
64	27000	5.921103e+00
64	27000	8.634777e+00
64	27000	6.002489e+00
64	28000	7.091220e+00
64	28000	6.084016e+00
64	28000	6.333079e+00
64	28000	6.356564e+00
64	28000	8.712035e+00
64	29000	6.385332e+00
64	29000	7.039809e+00
64	29000	7.273540e+00
64	29000	6.845479e+00
64	29000	7.226403e+00
128	1000	7.416697e-02
128	1000	5.971445e-02
128	1000	4.953440e-02
128	1000	4.786053e-02
128	1000	4.755089e-02
128	2000	1.177417e-01
128	2000	1.173273e-01
128	2000	1.203811e-01
128	2000	1.172040e-01
128	2000	1.030160e-01
128	3000	1.851020e-01
128	3000	1.904697e-01
128	3000	1.767340e-01
128	3000	1.748893e-01
128	3000	1.729693e-01
128	4000	2.560148e-01
128	4000	2.634989e-01
128	4000	2.561361e-01
128	4000	2.451755e-01
128	4000	2.554485e-01
128	5000	3.397990e-01
128	5000	3.392006e-01
128	5000	3.517581e-01
128	5000	3.328429e-01
128	5000	3.457579e-01
128	6000	4.362432e-01
128	6000	4.457399e-01
128	6000	4.387251e-01
128	6000	4.494025e-01
128	6000	4.554206e-01
128	7000	5.417893e-01
128	7000	5.591674e-01
128	7000	5.603663e-01
128	7000	5.795354e-01
128	7000	5.782052e-01
128	8000	6.945832e-01
128	8000	6.810236e-01
128	8000	7.063172e-01
128	8000	6.759899e-01
128	8000	6.517239e-01
128	9000	7.803937e-01
128	9000	7.595495e-01
128	9000	7.942491e-01
128	9000	7.737470e-01
128	9000	7.713343e-01
128	10000	8.982642e-01
128	10000	8.927015e-01
128	10000	8.865933e-01
128	10000	9.195379e-01
128	10000	9.279927e-01
128	11000	1.073034e+00
128	11000	1.083707e+00
128	11000	1.036711e+00
128	11000	1.063834e+00
128	11000	1.065747e+00
128	12000	1.267526e+00
128	12000	1.200078e+00
128	12000	1.255526e+00
128	12000	1.226277e+00
128	12000	1.182186e+00
128	13000	1.442576e+00
128	13000	1.468233e+00
128	13000	1.423631e+00
128	13000	1.376971e+00
128	13000	1.402772e+00
128	14000	1.549229e+00
128	14000	1.550707e+00
128	14000	1.563603e+00
128	14000	1.558249e+00
128	14000	1.674711e+00
128	15000	1.756561e+00
128	15000	1.759793e+00
128	15000	1.780599e+00
128	15000	1.816802e+00
128	15000	1.801841e+00
128	16000	1.942523e+00
128	16000	1.925775e+00
128	16000	1.991415e+00
128	16000	2.049542e+00
128	16000	1.928224e+00
128	17000	2.188333e+00
128	17000	2.212778e+00
128	17000	2.226563e+00
128	17000	2.219355e+00
128	17000	2.170478e+00
128	18000	2.457375e+00
128	18000	2.374804e+00
128	18000	2.463818e+00
128	18000	2.333581e+00
128	18000	2.396029e+00
128	19000	2.689086e+00
128	19000	2.587112e+00
128	19000	2.716467e+00
128	19000	2.578997e+00
128	19000	2.568707e+00
128	20000	2.898560e+00
128	20000	2.849291e+00
128	20000	2.886044e+00
128	20000	2.944349e+00
128	20000	2.883855e+00
128	21000	3.171255e+00
128	21000	3.212954e+00
128	21000	3.180751e+00
128	21000	3.094646e+00
128	21000	3.136433e+00
128	22000	3.419742e+00
128	22000	3.312808e+00
128	22000	3.546271e+00
128	22000	3.445072e+00
128	22000	3.415769e+00
128	23000	3.708105e+00
128	23000	3.626448e+00
128	23000	3.631648e+00
128	23000	3.634855e+00
128	23000	3.886561e+00
128	24000	3.916666e+00
128	24000	4.090039e+00
128	24000	4.100930e+00
128	24000	3.973862e+00
128	24000	4.021529e+00
128	25000	4.273834e+00
128	25000	4.375930e+00
128	25000	4.407358e+00
128	25000	4.293106e+00
128	25000	4.202363e+00
128	26000	4.749096e+00
128	26000	4.853189e+00
128	26000	4.560638e+00
128	26000	4.783513e+00
128	26000	6.392725e+00
128	27000	5.015803e+00
128	27000	4.880585e+00
128	27000	4.995877e+00
128	27000	5.025137e+00
128	27000	5.531606e+00
128	28000	5.750431e+00
128	28000	5.348599e+00
128	28000	5.567982e+00
128	28000	5.450221e+00
128	28000	5.717853e+00
128	29000	5.722742e+00
128	29000	5.874189e+00
128	29000	5.855483e+00
128	29000	5.961508e+00
128	29000	5.767020e+00
256	1000	6.986606e-02
256	1000	5.700490e-02
256	1000	5.123822e-02
256	1000	4.934051e-02
256	1000	4.978113e-02
256	2000	1.276073e-01
256	2000	1.124195e-01
256	2000	1.215644e-01
256	2000	1.284139e-01
256	2000	1.213810e-01
256	3000	1.973450e-01
