strategy	n_threads	n_cols	n_rows	iterations	min	max	diff	avg	time	flops
omp	4	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	4.461037e+01	1.077264e+10	
pth	8	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	5.732238e-01	1.047958e+09	
omp	8	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.382431e-01	4.345348e+09	
pth	8	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	5.533613e-01	1.085573e+09	
omp	8	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.270458e-01	4.728327e+09	
pth	8	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	6.277958e-01	3.827450e+09	
omp	8	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	2.085036e-01	1.152430e+10	
pth	8	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	6.008543e-01	3.999068e+09	
omp	8	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	1.942166e-01	1.237205e+10	
pth	8	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	8.986048e-01	1.336993e+10	
omp	8	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	6.254305e-01	1.920963e+10	
pth	8	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	7.965748e-01	1.508243e+10	
omp	8	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	5.872170e-01	2.045970e+10	
pth	8	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.197875e+00	2.005933e+10	
omp	8	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.152416e+00	2.085060e+10	
pth	8	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.029924e+00	2.333043e+10	
omp	8	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.097810e+00	2.188773e+10	
pth	8	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	2.833563e+00	4.239992e+10	
omp	8	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	3.936250e+00	3.052216e+10	
pth	8	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	8.154549e+01	5.893293e+09	
omp	8	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	4.091989e+01	1.174420e+10	
pth	16	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.082328e+00	5.550205e+08	
omp	16	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	2.149047e-01	2.795258e+09	
pth	16	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.119858e+00	5.364200e+08	
omp	16	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.932834e-01	3.107946e+09	
pth	16	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	1.177830e+00	2.040071e+09	
omp	16	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	2.600396e-01	9.240351e+09	
